"","x"
"1","Itln1"
"2","Cd244a"
"3","4930449I24Rik"
"4","Olfr912"
"5","Olfr921"
"6","Olfr911-ps1"
"7","Olfr26"
"8","Olfr922"
"9","Olfr924"
"10","Tdpoz4"
"11","Hdhd3"
"12","Olfr910"
"13","Olfr913"
"14","Gm28453"
"15","Vwa5a"
"16","Mir297a-2"
"17","Olfr920"
"18","Olfr918"
"19","Gm6370"
"20","Olfr914"
"21","Gal3st2"
"22","2410018L13Rik"
"23","Gm2042"
"24","Gm21319"
"25","BB287469"
"26","BC052688"
"27","Zfp429"
"28","Apol10a"
"29","Apol11a"
"30","Stfa1"
"31","Fam205a1"
"32","Mup10"
"33","Mup11"
"34","Gm13283"
"35","Gm13290"
"36","Skint4"
"37","Skint3"
"38","Skint9"
"39","Skint6"
"40","Gm6460"
