"","D01116_test","D01117_test","D01118_test","D01119_test","D01120_test"
"Bag2",-0.163556800652335,-0.196510529059711,0.0566345623022888,0.0235504228528511,0.532174305773723
"Imp4",-0.200843628206638,-0.0670641046430988,0.188271633437759,-0.0681594697945645,0.417463054174288
"Ccdc115",-0.191274346954014,-0.023092277369873,0.108714083471236,-0.0869078437816055,0.380739958365508
"Hs6st1",-0.0621085884999356,-0.161803990254461,0.0497589626832605,-0.0235604659908283,0.256684642693558
"Arid5a",-0.219314601134059,-0.0585116265986012,-0.378718694057648,0.346918504068198,0.407307362463997
"Ankrd39",-0.245576235722817,-0.165609607242368,-0.595451589705732,0.489867883034527,0.314633234179071
"Cox5b",-0.143125405542466,-0.110868676853067,0.284675879960072,-0.0416644894244918,0.387437430493307
"Txndc9",-0.342617585141144,-0.158945115517062,-0.0188890840739451,0.145222139376381,0.492120475369134
"Eif5b",-0.334518272022969,-0.112833464886767,-0.0562929156667977,0.135958958157521,0.307776289298404
"Pou3f3",0.142143799273254,0.34250518332897,-1.19113247444326,0.464829220922788,0.550368602919162
"2900092D14Rik",-0.0463155940176107,0.15926167876528,-1.16806205631968,0.382230725090712,0.537492088732204
"Pantr2",0.0117689418275661,0.131482830993308,-0.62810283099743,-0.26110085031022,0.342212784464991
"Dalir",0.0958868574650706,-0.059796004040675,-0.199460310209347,0.220190051929598,0.249412347160156
"Stat1",-0.40410679541313,0.0175456899476072,0.0286352440540705,-0.126441183423453,0.426452714280542
"Gls",-0.271017115423505,0.0134230547038791,0.0665096159714263,-0.120291256290626,0.322534805371947
"Ankrd44",-0.244518301966086,0.0750313356800661,-0.140525921779056,-0.0614101728621308,0.208598640338785
"Cflar",-0.285870143083693,-0.210635341316114,-0.0750192467721417,0.0369910319032437,0.382479183073723
"Ctla4",-0.605051698622435,0.241714067803346,0.0729306169183192,-0.334792059790538,0.460747135320124
"Ino80dos",-0.20392156849176,-0.089437064772714,-0.0419088596258481,0.0878710741738979,0.408341857222284
"Ccnyl1",-0.225039008285116,-0.00573506218487518,-0.301508689991879,-0.120918144145231,0.313936323801451
"Kansl1l",-0.212679603083101,-0.127755261252857,0.0384170901581743,0.185439997266256,0.251938823053349
"Acadl",-0.0635900571347029,-0.0783654319799954,-0.173867643714392,0.0149977172521764,0.45253728109061
"Tns1",0.0601938701589128,-0.14018075236201,-0.0510363044553485,-0.0575786179092193,0.201823958631584
"Aamp",-0.156248775579127,-0.183802954405513,-0.100612847171301,-0.127052563342666,0.435880548505
"Ctdsp1",-0.100968074891001,-0.258055390340734,0.126384638289154,-0.0383651226295576,0.26546933092032
"Mir26b",-0.170717317823204,-0.312718816176216,0.160840554089978,-0.122293788423343,0.283853956542847
"Glb1l",-0.0505070802632555,-0.446890050480132,-0.244812839153458,0.0201832006228732,0.29273823266729
"Stk16",-0.197434884031805,-0.427455684988989,-0.346450065141803,0.0477149180953497,0.396960099980973
"Tuba4a",-0.086122492767152,-0.174964487481419,-0.246939976667625,0.264407459977548,0.484725439375126
"Dnajb2",-0.0312541912956107,-0.200550666083453,0.0285241362795313,-0.126492102760787,0.342697867278605
"Tmem198",-0.296882165038822,0.0754453022953562,-0.123560343507412,0.104732663637097,0.33889159699636
"Chpf",-0.307750177462113,0.0705186562020261,-0.134584223451935,0.0700624845014963,0.372487561865848
"Farsb",-0.099961660877379,-0.0602717044174461,-0.179134195781157,0.199226999696041,0.31840679732068
"Ncl",-0.203165859352997,-0.0461075490311292,0.175552539870725,0.0181238597122255,0.25220886390286
"Tex44",-0.184859792137229,0.0307977345737992,-0.122345504256443,0.0368473927752352,0.33104186296175
"Ptma",-0.283604499244272,-0.0542472921592246,-0.281804277789004,0.0626369743783757,0.426517506852184
"Eif4e2",-0.0872699998651863,0.0338704239065112,-0.0418532339931787,-0.023961635672104,0.29094279489133
"Scly",0.206189143445926,-0.170915995163781,-0.140602454130106,0.0963081312773976,0.264777889268589
"Hes6",-0.326160880241211,-0.0498984976045839,-0.0315732541709523,-0.247374698219332,0.482373864665802
"Per2",0.0132802487429988,-0.18265671301398,-0.119104636263904,-0.00270254653656794,0.260931985940084
"Dusp28",-0.679236482703444,-0.300012615999879,-0.0750740628019127,0.15228316107026,0.3663642636673
"Rnpepl1",-0.31607672549775,-0.145622300020395,-0.251467289065129,-0.0772355997512292,0.370065097043055
"5033417F24Rik",-0.233235378206195,-0.078548975228632,-0.297384645671439,-0.103994883516332,0.387408638372546
"Mir6902",-0.461901326939563,-0.313650849164002,-0.218919641474731,0.601760331196125,0.467614600762389
"Hdlbp",-0.175594348934317,-0.0951301709462545,-0.0262247573984068,0.11193519434829,0.290465113745158
"Sept2",-0.309990664486449,-0.116659156145706,-0.0922353865272112,0.295040200945386,0.321743351077444
"Stk25",-0.167853009181685,-0.167737148544066,-0.34758015451095,0.2785541392627,0.478749085246252
"Thap4",-0.135901651204035,-0.109503501125329,-0.0796921319517462,-0.00198110282988197,0.311830400694243
"Atg4b",-0.188141465213553,-0.113809929991718,0.0560871846364221,-0.00190172490720817,0.318765659938484
"Dtymk",-0.234106598580839,-0.146169230012808,-0.218724733789781,0.233908227345553,0.362496647573712
"Ing5",-0.155542109124951,-0.0789879572895727,-0.247081610268799,0.264722460795794,0.291128751081197
"Pdcd1",-0.463043729108915,0.178422940628942,0.179855981307028,-0.345780620191345,0.36947464073277
"Bcl2",-0.379929376802156,0.0560026204115916,-0.183193367870804,0.0974065787835424,0.340042766038861
"Mir3473f",-0.324852333150915,0.0563459358716163,-0.376569459217475,0.190334783780403,0.2862443834732
"Kdsr",-0.307632454994284,-0.00292027579363837,0.161094783033212,-0.0249009084749707,0.276854817552701
"2900060B14Rik",-0.249640509601696,0.000424060302351779,-0.153840434886977,0.0495984869363018,0.266163563977093
"Tfcp2l1",0.143461556724061,-0.204715101026465,-0.187452131680284,0.140152537972828,0.219722844329711
"Epb41l5",-0.0904202260155355,-0.188901753570547,-0.174907277085864,0.240605818855465,0.277075316079723
"Tmem37",-0.0111686811783308,-0.147407020292503,0.0214775550072067,-0.295442902771423,0.235771966878887
"Dbi",-0.0997918592409978,-0.224929471561088,-0.0455339768702555,0.0834151194640153,0.395300766385434
"3110009E18Rik",0.0176301049321439,-0.145409994851468,0.0160025372606757,0.087819566237635,0.231661998987375
"Actr3",-0.275433363009773,-0.00354921579018735,0.204645602401924,0.0637942872000049,0.29233768794404
"Ccnt2",-0.231487444422617,-0.177294585132016,0.122636228817491,-0.068857189196054,0.281177746907625
"R3hdm1",-0.297439552706131,-0.106518415515057,0.00846986821363369,0.0792819867672867,0.289958988310904
"Pfkfb2",-0.0933599435804057,0.129283607480815,-0.429846078826435,0.100725357170678,0.25726705098912
"Yod1",-0.355527015645134,0.187346299960558,-0.664096879685745,-0.0256571655265173,0.334264405701528
"AA986860",-0.0485638463713075,-0.0225969944054237,-0.45967181798433,0.474016257189788,0.480277559980811
"Il10",-0.484388623707481,-0.00261218738939489,0.323069503021275,-0.0967970324058962,0.308655461261272
"Mapkapk2",-0.329154557931101,-0.120548857288049,0.0249964084392285,-0.0330683490356283,0.458118884777524
"Dyrk3",-0.158833788139034,0.136969604205998,0.0606648545808127,-0.0365000179384795,0.341341641106692
"Srgap2",-0.248972829989631,0.108897639788366,-0.137541581173347,0.131406040918371,0.22447366289464
"Fam72a",-0.44960131058243,-0.0395082434364367,-0.0784400001138075,0.0604631886273999,0.33508017189899
"Slc45a3",-0.142786777428834,0.0420682473562447,-0.354895818179113,-0.0813994500623575,0.351876046686566
"Elk4",-0.243581340108642,0.050927921462714,-0.0033747778211496,-0.115089489911586,0.401809790601987
"Mfsd4a",0.00588691996333869,0.137732691486548,-0.372005956215716,0.174888556588679,0.285095905303516
"Nuak2",0.0406095986701423,-0.25355724780143,0.0494054483285064,0.117992323695658,0.298268252858017
"Lax1",0.0289348491265484,-0.149386463423329,-0.143655508796339,-0.389143474239976,0.402015261792553
"Btg2",-0.32980349032726,0.00916679977594139,-0.273218911025224,0.188389139371853,0.303096276842584
"Chit1",-0.127416882353738,0.133090333979858,-0.0215653078334083,-0.0830358679325483,0.245021161483978
"Ptprv",-0.415387578098375,0.100220167240801,-0.188648442054263,-0.472348518759855,0.425604121594855
"Ptpn7",-0.474572610378924,0.157330519049099,-0.147333000046735,-0.568957949522793,0.635894672854057
"Arl8a",-0.116610179163254,-0.223857367448059,-0.0700636511354119,-0.123924617653968,0.359637417803026
"Elf3",0.0934085600983993,-0.0746858395916822,-0.190265115895759,0.101120943389385,0.209384153103985
"Gm15850",-0.325990197803199,-0.277329820513288,-0.0500315546228714,0.103250499680915,0.314460974002553
"Nek7",-0.409983126012712,-0.00392408698932787,-0.195970081009298,0.0422839610056688,0.322390714215349
"Odr4",-0.152341743251289,-0.127629057107207,0.0125023020923687,0.243753542028473,0.490614883185057
"Tpr",-0.00570414081378741,-0.0829697696437896,-0.0331325719167726,0.213045583415143,0.392161815608122
"Ivns1abp",-0.104029857483108,-0.239955114680248,-0.260306917154318,0.221757938226996,0.272614925432218
"Swt1",-0.209239985239695,-0.0840753722307931,-0.195239916897474,0.174048392151435,0.303207092085644
"Trmt1l",-0.43022853948345,-0.0408716642738109,-0.209703524616671,0.119190342402738,0.430881984218169
"2810414N06Rik",-0.171647217750541,-0.207819635664376,0.0950665157530162,-0.111510968464222,0.259229075725269
"Arpc5",-0.32538022462529,-0.219714249518528,-0.634698598789258,0.537844768794375,0.469624289506421
"Dhx9",-0.225416487349992,-0.309599907042368,-0.10341806972378,0.203561460172541,0.669822591425353
"Ier5",-0.231019497574991,0.110988112677692,-0.246725207399148,0.326566802897423,0.392143818777181
"Stx6",0.189938249668666,0.00203705391856325,-0.323927812136165,0.0951172095903473,0.332953443468567
"Tor1aip1",-0.225626801614204,-0.156161156930764,0.0284346908676025,-0.0468665050851988,0.250821692386023
"Tor1aip2",-0.278446949916614,-0.128657182203509,0.066692549860575,0.062406279557747,0.334631421637157
"Tor3a",-0.315933641807816,0.247452674730429,-0.0586153133216734,-0.0662404047457957,0.383770958499912
"Mrps14",-0.231308765514393,-0.140816439865026,-0.0182165591973766,0.102963439539145,0.635393473521407
"Cacybp",-0.151670147119415,-0.119086213582817,-0.0272958888644916,0.0658448292956798,0.346471309616494
"Gas5",-0.316099307263255,-0.0989476956445096,-0.376561208537594,0.16244669308062,0.317641190693413
"Snord47",-0.322165053261988,-0.0934656104386291,-0.343352450852947,0.167979096383922,0.32376820665935
"Suco",-0.172428105554026,0.00671944935794698,0.110729403363024,0.100411788601754,0.296263466081177
"Pigc",-0.209124305384349,0.228980045544991,-0.0948573362342679,0.224997070154667,0.433548667499275
"Slc19a2",-0.0233306096819028,0.09531463784389,-0.182021944334713,-0.0847580866773694,0.249804738986062
"Atp1b1",0.10194694985696,-0.214391231517807,-0.320482161893772,0.230558702826891,0.304065315318306
"Sft2d2",-0.259288416644441,-0.0517740764053512,-0.233705605043551,0.203845958957957,0.696154136430293
"Dcaf6",-0.106617983510875,0.146512806111944,-0.0830610189171421,0.0421174462068757,0.22924204286419
"Mpc2",-0.197901628930069,-0.0197249171845429,-0.0209219497331674,0.111187200226962,0.284165447928133
"Creg1",-0.338280821002155,-0.154500078086381,0.0511050703021623,0.122279535678283,0.26655629975761
"Tada1",-0.14325715608934,-0.103145016991376,0.157951906688266,-0.119125687897376,0.321040991507442
"Uap1",-0.33679990898999,-0.1951971982286,0.00384869943400707,0.0897712246257829,0.32681709118805
"Uhmk1",-0.150201512781292,0.172810198723265,-0.176741874708382,-0.132675873283305,0.595068043782441
"Fcrla",-0.302325244048629,0.0326652673287541,-0.137342360831864,-0.0608634742454696,0.542078399288864
"Ndufs2",-0.356341501296652,0.275629255020718,-0.514480560641355,0.371435834013061,0.438715045926899
"B4galt3",-0.121723399734553,-0.0536215198921512,-0.459283471460471,0.277688059287446,0.425026244663192
"Usp21",-0.260377600605375,0.0591307564806329,-0.107137593794574,0.119079024999786,0.403638304313899
"Ufc1",-0.06588181324015,-0.213660606949214,-0.136624650951842,0.0699064239531032,0.408066716769435
"Dedd",-0.0786143989397914,-0.0804839294259238,-0.0994525222969254,-0.0287692798967075,0.488171823518116
"Slamf7",-0.400604018195926,0.214730551071429,0.419075535352129,-0.479989231816994,0.41297051175861
"Mir7683",-0.65117991112537,0.0457346235770444,0.333462466512404,-0.635693730798058,0.697856662166485
"Igsf9",-0.115667178619093,0.0368301919597616,-0.415342535510709,0.0932978439393742,0.467921706006008
"Tagln2",-0.389376169609667,-0.0100886720551035,-0.132465224645152,0.016669599951382,0.325353678802836
"Opn3",-0.307321858535894,-0.0182750069874238,0.05949438399171,0.189631107280464,0.354082317008567
"Chml",-0.407552276682094,-0.0686590396831142,0.00164959313577264,0.239191399070058,0.536089468712266
"Zbtb18",-0.156510962705468,0.000273596585617236,0.16334196492097,-0.149559335186681,0.30767262801665
"Adss",-0.302494661734096,-0.100329144429336,-0.0650908281313934,0.0416832865678018,0.280947917981803
"Hnrnpu",-0.209000226437281,-0.126317673864419,-0.0484743882473043,-0.103044321550594,0.311194521509678
"Efcab2",-0.0709602795079995,0.117492681411672,-0.270080619027528,0.160949159714915,0.282622023377592
"H3f3a",-0.0863731825956471,-0.011078359484704,-0.158933557042013,-0.0990229776598463,0.280831191798494
"Srp9",0.0531911206826081,0.118893014276434,-0.29058510753069,-0.0746511551569949,0.269437803354105
"Trp53bp2",-0.109405818800605,0.00188658219666721,-0.328484420234048,0.0799720674910224,0.268706282972415
"Capn2",-0.163344742571913,0.149174602255017,-0.392846486374286,0.113187375308936,0.294798282206031
"Dusp10",-0.61478720244195,0.135904518289605,0.111693215379255,-0.0846287273022808,0.274434798826158
