"","x"
"1","Skint4"
"2","Skint3"
"3","Skint9"
"4","2810047C21Rik1"
"5","Vmn2r43"
"6","Vmn2r44"
"7","Gal3st2"
"8","Gm2042"
"9","Gm21319"
"10","BB287469"
"11","Taar7a"
"12","2300003K06Rik"
"13","Olfr924"
"14","Scgb1b2"
"15","Olfr433"
"16","Olfr48"
"17","Mir743b"
"18","Olfr918"
"19","Mir742"
"20","Olfr1392"
"21","4930449I24Rik"
"22","Olfr1387"
"23","Gm3402"
"24","Defb34"
"25","Olfr481"
"26","Olfr1386"
"27","Olfr919"
"28","Gm21119"
"29","Olfr1205"
"30","Gm13283"
"31","Gm13290"
"32","Gm14548"
"33","Trim12a"
"34","Gm15133"
"35","Vmn1r112"
"36","Trim30e-ps1"
"37","Gm13275"
"38","Gm13286"
"39","Hist1h4k"
"40","Hdhd3"
"41","Gm8369"
"42","Hist1h2bb"
"43","Psmd10"
"44","Hist1h3b"
"45","Hist1h3c"
"46","Alad"
"47","Gm15471"
"48","Coro1a"
